Date,Open,High,Low,Close,Volume
12-Dec-14,83.77,84.32,82.49,82.63,41383
11-Dec-14,84.57,84.93,84.01,84.47,46630
10-Dec-14,84.76,84.85,84.07,84.10,123357
9-Dec-14,84.41,85.30,84.22,84.76,93039
8-Dec-14,85.24,85.45,84.55,84.90,37680
5-Dec-14,85.46,86.14,85.36,85.79,43140
4-Dec-14,84.43,84.84,83.72,84.13,28669
3-Dec-14,84.09,84.26,83.68,84.20,40758
2-Dec-14,84.42,84.42,83.67,84.10,43020
1-Dec-14,84.21,85.00,82.64,84.85,40570
28-Nov-14,84.25,84.42,83.90,83.90,16193
26-Nov-14,82.74,83.37,82.74,83.36,45167
25-Nov-14,82.27,82.70,82.05,82.67,67759
24-Nov-14,81.48,81.78,81.08,81.45,33171
21-Nov-14,79.66,80.06,79.39,79.72,41932
20-Nov-14,78.17,79.03,78.17,78.98,39707
19-Nov-14,78.85,79.14,78.26,78.90,44428
18-Nov-14,78.04,78.80,78.04,78.74,41836
17-Nov-14,75.89,76.65,75.66,76.64,23228
14-Nov-14,75.84,76.67,75.80,76.57,23420
13-Nov-14,75.96,76.66,75.94,76.47,28247
12-Nov-14,76.14,76.45,75.88,76.30,82129
11-Nov-14,77.10,78.02,76.92,77.99,40395
10-Nov-14,77.76,78.30,77.63,77.93,28481
7-Nov-14,77.60,77.65,76.96,77.20,28849
6-Nov-14,78.43,78.98,77.58,78.23,51500
5-Nov-14,78.21,78.48,77.56,77.99,51405
4-Nov-14,77.14,77.32,76.69,77.24,31203
3-Nov-14,77.51,77.71,76.85,77.25,69449
31-Oct-14,77.72,78.01,77.55,77.97,57344
30-Oct-14,75.60,77.11,75.30,76.68,31291
29-Oct-14,77.98,78.13,76.14,76.82,52843
28-Oct-14,76.41,77.64,76.37,77.63,31468
27-Oct-14,74.84,76.00,74.46,75.56,28164
24-Oct-14,76.50,76.75,76.00,76.32,47590
23-Oct-14,75.50,76.79,75.28,76.40,36345
22-Oct-14,76.16,76.16,74.62,74.80,41068
21-Oct-14,75.48,76.27,75.33,76.07,32097
20-Oct-14,74.62,75.22,74.47,75.22,37899
17-Oct-14,75.48,76.11,74.92,75.50,30814
16-Oct-14,73.04,74.94,72.90,74.34,68016
15-Oct-14,73.47,73.88,71.70,73.84,82294
14-Oct-14,74.79,75.05,73.79,74.23,51497
13-Oct-14,71.87,72.41,71.20,71.39,43540
10-Oct-14,71.40,71.70,70.21,70.58,52751
9-Oct-14,74.28,74.28,72.00,72.12,100820
8-Oct-14,73.10,74.97,72.79,74.80,55346
7-Oct-14,74.12,74.55,73.21,73.22,50076
6-Oct-14,74.97,75.19,73.60,74.26,78908
3-Oct-14,74.67,74.85,74.42,74.83,58074
2-Oct-14,76.42,76.42,74.55,75.20,62547
1-Oct-14,75.99,76.30,75.50,75.69,66796
30-Sep-14,76.15,76.80,75.71,76.30,76579
29-Sep-14,76.80,77.10,76.46,76.60,83140
26-Sep-14,77.91,78.10,77.37,77.72,53839
25-Sep-14,78.64,78.64,77.10,77.39,69482
24-Sep-14,78.13,78.98,77.77,78.92,41197
23-Sep-14,78.52,79.17,78.24,78.60,62351
22-Sep-14,80.80,80.87,80.03,80.28,45601
19-Sep-14,82.06,82.30,81.50,81.50,25554
18-Sep-14,82.14,82.50,82.11,82.17,54026
17-Sep-14,82.35,82.50,81.61,81.61,25780
16-Sep-14,80.98,82.40,80.98,82.34,31899
15-Sep-14,81.66,81.93,81.40,81.50,31480
12-Sep-14,81.20,81.50,80.58,81.24,22071
11-Sep-14,81.28,81.81,81.16,81.62,37720
10-Sep-14,81.44,82.64,81.44,82.58,22339
9-Sep-14,83.28,83.41,82.78,82.96,25285
